Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
498,"Jalen Harris, SG",TOR,4,3.5,-3.12,-0.23,-3.35,-0.01,,,,,,,,,,,
499,"Vernon Carey Jr., C",CHA,15,6.3,-1.61,-1.77,-3.39,-0.13,,,,,,,,,,,
500,"Brian Bowen II, SG",IND,6,2.5,-3.26,-0.13,-3.39,-0.01,,,,,,,,,,,
501,"Tre Jones, PG",SA,29,5.4,-1.60,-1.89,-3.49,-0.27,,,,,,,,,,,
502,"Chandler Hutchison, F",CHI/WSH,14,13.2,-1.59,-1.90,-3.49,-0.34,,,,,,,,,,,
503,"Greg Whittington, SF",DEN,4,3.0,-3.45,-0.07,-3.52,-0.01,,,,,,,,,,,
504,"KZ Okpala, SF",MIA,30,12.8,-2.53,-1.00,-3.53,-0.61,,,,,,,,,,,
505,"Jalen Lecque, PG",IND,4,3.0,-3.47,-0.10,-3.57,-0.01,,,,,,,,,,,
506,"Devon Dotson, PG",CHI,6,3.7,-2.65,-0.99,-3.64,-0.03,,,,,,,,,,,
507,"Wes Iwundu, SF",NO/DAL,35,13.6,-2.33,-1.33,-3.66,-0.87,,,,,,,,,,,
508,"Shaquille Harrison, G",DEN/UTAH,22,5.6,-2.29,-1.45,-3.73,-0.27,,,,,,,,,,,
509,"P.J. Tucker, PF",HOU/MIL,41,27.1,-3.75,-0.05,-3.80,-1.95,,,,,,,,,,,
510,"Daniel Oturu, C",LAC,23,4.1,-2.66,-1.19,-3.85,-0.16,,,,,,,,,,,
511,"Ignas Brazdeikis, F",NY/PHI,5,3.0,-3.69,-0.19,-3.88,-0.01,,,,,,,,,,,
512,"Chasson Randle, PG",ORL,29,19.6,-1.74,-2.18,-3.92,-1.19,,,,,,,,,,,
513,"Killian Hayes, PG",DET,16,22.8,-1.86,-2.09,-3.95,-0.74,,,,,,,,,,,
514,"Harry Giles III, PF",POR,30,10.3,-2.62,-1.33,-3.96,-0.53,,,,,,,,,,,
515,"Keljin Blevins, SF",POR,10,5.1,-3.00,-1.13,-4.13,-0.08,,,,,,,,,,,
516,"Romeo Langford, SG",BOS,12,15.1,-2.79,-1.51,-4.30,-0.43,,,,,,,,,,,
517,"R.J. Hampton, PG",DEN/ORL,40,14.5,-1.53,-2.81,-4.34,-1.50,,,,,,,,,,,
518,"Trent Forrest, SG",UTAH,18,5.9,-2.70,-1.67,-4.37,-0.28,,,,,,,,,,,
519,"Noah Vonleh, F",BKN,4,2.8,-3.91,-0.47,-4.38,-0.01,,,,,,,,,,,
520,"Malik Fitts, F",LAC,3,3.7,-2.54,-1.90,-4.44,-0.02,,,,,,,,,,,
RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,,,,,,,,,,,
521,"Rodney Hood, SG",POR/TOR,48,18.4,-2.85,-1.68,-4.53,-2.16,,,,,,,,,,,
